,add_COBALT2tpp,add_FE2tpp,add_GLYC2Pabcpp,rep_CAt6pp,rep_CBPS,rep_PIuabcpp,rxn00801_c0
Model_195,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Model_196,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Model_197,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Model_198,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
Model_199,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Model_200,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Model_201,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
Model_202,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Model_203,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Model_204,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Model_205,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
Model_206,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_207,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_208,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Model_209,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Model_210,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_211,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_212,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_213,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_214,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Model_215,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_216,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_217,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_218,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_219,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_220,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Model_221,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Model_222,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Model_223,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Model_224,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_225,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_226,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_227,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_228,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_229,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_230,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_231,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_232,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_233,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_234,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Model_235,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_236,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_237,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_238,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Model_239,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_240,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_241,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_242,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Model_243,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Model_244,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Model_245,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Model_246,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_247,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_248,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Model_249,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_250,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_251,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_252,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_253,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_254,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_255,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_256,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_257,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Model_258,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_259,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_260,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_261,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_262,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Model_263,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Model_264,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_265,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_266,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_267,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_268,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Model_269,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_270,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_271,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_272,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Model_273,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_274,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_275,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_276,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_277,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Model_278,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_279,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_280,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_281,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_282,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_283,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_284,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_285,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_286,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_287,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Model_288,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_289,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_290,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_291,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_292,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_293,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_294,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_295,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_296,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_297,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_298,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_299,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_300,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_301,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Model_302,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_303,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_304,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_305,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_306,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_307,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_308,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_309,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_310,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_311,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_312,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Model_313,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Model_314,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_315,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Model_316,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_317,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_318,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_319,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_320,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_321,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_322,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_323,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_324,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Model_325,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_326,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_327,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_328,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Model_329,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_330,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_331,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_332,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Model_333,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_334,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_335,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Model_336,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_337,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_338,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_339,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_340,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_341,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_342,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_343,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_344,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
