"","x"
"1133",-1000
"1134",0
"1135",-1000
"1136",0
"1137",0
"1138",0
"1139",0
"1140",0
"1141",-1000
"1142",0
"1143",0
"1144",0
"1145",-1000
"1146",0
"1147",0
"1148",0
"1149",0
"1150",-1000
"1151",-1000
"1152",0
"1153",-1000
"1154",0
"1155",0
"1156",-1000
"1157",-1000
"1158",0
"1159",-1000
"1160",0
"1161",-1000
"1162",0
"1163",0
"1164",0
"1165",0
"1166",0
"1167",-1000
"1168",-1000
"1169",-1000
"1170",0
"1171",0
"1172",-1000
"1173",-1000
"1174",0
"1175",0
"1176",-1000
"1177",-1000
"1178",0
"1179",-1000
"1180",-1000
"1181",-1000
"1182",-1000
"1183",-1000
"1184",-1000
"1185",0
"1186",0
"1187",-1000
"1188",0
"1189",0
"1190",0
"1191",0
"1192",-1000
"1193",-1000
"1194",-1000
"1195",0
"1196",-1000
"1197",-1000
"1198",0
"1199",-1000
"1200",-1000
"1201",0
"1202",0
"1203",0
"1204",-1000
"1205",-1000
"1206",-1000
"1207",-1000
"1208",-1000
"1209",-1000
"1210",0
"1211",-1000
"1212",-1000
"1213",-1000
"1214",0
"1215",0
"1216",0
"1217",-1000
"1218",-1000
"1219",0
"1220",0
"1221",-1000
"1222",-1000
"1223",-1000
"1224",-1000
"1225",-1000
"1226",-1000
"1227",-1000
"1228",0
"1229",-1000
"1230",0
"1231",0
"1232",0
"1233",0
"1234",0
"1235",-1000
"1236",-1000
"1237",-1000
"1238",0
"1239",0
"1240",0
"1241",-1000
"1242",-1000
"1243",-1000
"1244",0
"1245",-1000
"1246",-1000
"1247",-1000
"1248",-1000
"1249",-1000
"1250",-1000
"1251",0
"1252",-1000
"1253",0
"1254",0
"1255",0
"1256",0
"1257",0
"1258",0
"1259",-1000
"1260",0
"1261",0
"1262",0
"1263",-1000
"1264",-1000
"1265",0
"1266",0
"1267",0
"1268",-1000
"1269",-1000
"1270",0
"1271",0
"1272",-1000
"1273",-1000
"1274",0
"1275",0
"1276",-1000
"1277",0
"1278",0
"1279",0
"1280",0
"1281",-1000
"1282",0
"1283",-1000
"1284",-1000
"1285",0
"1286",-1000
"1287",0
"1288",0
"1289",0
"1290",-1000
"1291",-1000
"1292",0
"1293",-1000
"1294",-1000
"1295",-1000
"1296",-1000
"1297",-1000
"1298",0
"1299",0
"1300",-1000
"1301",-1000
"1302",0
"1303",-1000
"1304",0
"1305",0
"1306",0
"1307",-1000
"1308",-1000
"1309",0
"1310",-1000
"1311",0
"1312",-1000
"1313",-1000
"1314",-1000
"1315",-1000
"1316",0
"1317",0
"1318",-1000
"1319",0
"1320",-1000
"1321",-1000
"1322",0
"1323",0
"1324",0
"1325",-1000
"1326",0
"1327",0
"1328",0
"1329",-1000
"1330",-1000
"1331",-1000
"1332",0
"1333",-1000
"1334",-1000
"1335",0
"1336",0
"1337",0
"1338",0
"1339",-1000
"1340",0
"1341",-1000
"1342",-1000
"1343",-1000
"1344",0
"1345",0
"1346",0
"1347",0
"1348",0
"1349",0
"1350",0
"1351",0
"1352",-1000
"1353",-1000
"1354",0
"1355",0
"1356",0
"1357",-1000
"1358",-1000
"1359",-1000
"1360",-1000
"1361",0
"1362",-1000
"1363",-1000
"1364",-1000
"1365",0
"1366",-1000
"1367",-1000
"1368",0
"1369",0
"1370",-1000
"1371",-1000
"1372",0
"1373",-1000
"1374",0
"1375",-1000
"1376",0
"1377",0
"1378",0
"1379",-1000
"1380",-1000
"1381",0
"1382",0
"1383",-1000
"1384",-1000
"1385",-1000
"1386",-1000
"1387",-1000
"1388",0
"1389",0
"1390",-1000
"1391",0
"1392",0
"1393",-1000
"1394",0
"1395",0
"1396",0
"1397",0
"1398",0
"1399",0
"1400",-1000
"1401",0
"1402",0
"1403",0
"1404",-1000
"1405",-1000
"1406",0
"1407",-1000
"1408",-1000
"1409",-1000
"1410",-1000
"1411",0
"1412",0
"1413",-1000
"1414",0
"1415",0
